NORAD_CAT_ID,DATE,MEAN_MOTION,ECCENTRICITY,BSTAR,A_KM,HP_KM,HA_KM
25544,2021-05-15,15.49010084,0.0003154,4.1138e-05,6797.757660851541,417.4766480853086,421.76467361777395
25544,2021-05-16,15.49012615,0.0003125,3.3379e-05,6797.750256078911,417.48895912388616,421.737553033935
25544,2021-05-17,15.49016741,0.0003125,3.5405e-05,6797.738184967706,417.4768917849033,421.725478150508
25544,2021-05-18,15.49020452,0.0003189,3.513e-05,6797.7273280348845,417.42253278997396,421.75812327979475
25544,2021-05-19,15.49023673,0.0003211,3.3632e-05,6797.71790468533,417.3981574661357,421.76365190452543
25544,2021-05-20,15.49027971,0.0003259,3.5218e-05,6797.705330518127,417.35295835091165,421.7837026853431
25544,2021-05-21,15.48906521,0.0003628,0.0,6798.060665292511,417.4573288831425,422.39000170187956
25544,2021-05-22,15.48920874,0.000327,5.4164e-05,6798.018669295143,417.6587171902838,422.10462140000254
25544,2021-05-23,15.48926519,0.0003143,0.00011889,6798.002152549201,417.72854047265537,422.00176462574836
25544,2021-05-24,15.48929675,0.0003212,0.00010157,6797.992918429913,417.67240310451325,422.0394337553116
25544,2021-05-25,15.48926797,0.0003203,2.8268e-05,6798.001339149601,417.6869393206716,422.0417389785316
25544,2021-05-26,15.48925766,0.0003261,1.0599e-05,6798.004355751496,417.65052653108614,422.08418497190814
25544,2021-05-27,15.48926801,0.0003204,1.1695e-05,6798.001327446011,417.68624782069764,422.0424070713252
25544,2021-05-28,15.48927353,0.0003327,9.8608e-06,6797.999712351132,417.6010178468332,422.1244068554315
25544,2021-05-29,15.48930226,0.000328,1.6218e-05,6797.991306265914,417.6245651174595,422.0840474143706
25544,2021-05-30,15.48937748,0.0003391,2.9676e-05,6797.969297835919,417.52710644702256,422.137489224815
25544,2021-05-31,15.48937534,0.0003384,1.7588e-05,6797.969923970656,417.5324909483852,422.1333569929275
25544,2021-06-01,15.48937945,0.00034,1.0728e-05,6797.968721440983,417.52041207569346,422.1430308062736
25544,2021-06-02,15.48944494,0.0003393,2.6301e-05,6797.949560036254,417.50601575053406,422.1191043219751
25544,2021-06-03,15.48949215,0.0003384,3.2269e-05,6797.935747172726,417.49832571588377,422.09916862956925
25544,2021-06-04,15.48952781,0.0003442,3.22e-05,6797.925313694283,417.44846780131047,422.12815958725696
25544,2021-06-05,15.48957534,0.0003508,7.0541e-05,6797.911407328301,417.38970000661084,422.15911464999226
25544,2021-06-06,15.48965603,0.0003626,5.9128e-05,6797.887799145454,417.28588502948423,422.21571326142475
25544,2021-06-07,15.48962778,0.0003639,1.8032e-05,6797.896064473051,417.28531009518974,422.23281885091365
25544,2021-06-08,15.48966441,0.0003627,2.5594e-05,6797.885347346913,417.2827543314297,422.2139403623951
25544,2021-06-09,15.48968953,0.000358,2.4131e-05,6797.877997816084,417.3073574928658,422.17463813930317
25544,2021-06-10,15.48972937,0.000359,2.8439e-05,6797.866341594551,417.2889075779194,422.16977561118347
25544,2021-06-11,15.4897602,0.0003577,2.9281e-05,6797.857321515646,417.28872795173993,422.15191507955115
25544,2021-06-12,15.48976213,0.0003459,1.9627e-05,6797.8567568474145,417.36837819522134,422.0711354996074
25544,2021-06-13,15.48981644,0.0003484,2.8434e-05,6797.840867189947,417.3354994318179,422.0722349480766
25544,2021-06-14,15.48985683,0.0003436,2.3309e-05,6797.829050213415,417.35631615176226,422.0277842750693
25544,2021-06-15,15.48988518,0.0003517,2.9969e-05,6797.820755832486,417.2929622726597,422.0745493923123
25544,2021-06-16,15.48988793,0.0003477,1.8906e-05,6797.819951264253,417.31934926719896,422.0465532613089
25544,2021-06-17,15.48994679,0.0003457,3.0151e-05,6797.8027306354525,417.3157302314721,422.0157310394334
25544,2021-06-18,15.48998553,0.0003514,3.4713e-05,6797.791396560411,417.26565266366015,422.04314045716274
25544,2021-06-19,15.49005595,0.0003458,4.0547e-05,6797.77079405971,417.28312491912493,421.9844632002969
25544,2021-06-20,15.49003599,0.0003431,1.8561e-05,6797.7766336620625,417.30731649905283,421.9719508250728
25544,2021-06-21,15.49009694,0.0003355,2.8751e-05,6797.758801849513,417.3411537714919,421.9024499275338
25544,2021-06-22,15.4900046,0.0003919,0.0,6797.7858173105715,416.98476504876817,422.31286957237535
25544,2021-06-23,15.49015233,0.0003338,2.7196e-05,6797.742596797579,417.336510318768,421.87468327639
25544,2021-06-24,15.48759103,0.0002232,0.0010669,6798.492038860153,418.8376154370799,421.8724622832269
25544,2021-06-25,15.48728499,0.0002126,2.0955e-05,6798.581600658863,418.99922221056295,421.8899791071635
25544,2021-06-26,15.48736581,0.0002372,5.5911e-05,6798.557948612432,418.8083306670205,422.0335665578423
25544,2021-06-27,15.48740402,0.0002324,4.4934e-05,6798.546766492832,418.82978422429915,421.98974876136526
25544,2021-06-28,15.48744469,0.0002278,4.3872e-05,6798.534864507125,418.8491582649913,421.94657074926
25544,2021-06-29,15.48746185,0.0002312,3.4485e-05,6798.529842686638,418.8210225870098,421.9646627862676
25544,2021-06-30,15.4875174,0.000224,3.5636e-05,6798.51358621597,418.8537191726573,421.8994532592824
25544,2021-07-01,15.48754489,0.0002215,3.5189e-05,6798.5055414206145,418.8626724431906,421.8744103980398
25544,2021-07-02,15.4875975,0.000221,3.6484e-05,6798.490145463559,418.850679141412,421.85561178570697
25544,2021-07-03,15.48759981,0.0002217,3.671e-05,6798.489469459839,418.8452443444603,421.8596945752179
25544,2021-07-04,15.48767231,0.0002195,4.4753e-05,6798.468252978273,418.8389891967445,421.82351675980226
25544,2021-07-05,15.4876873,0.0002258,2.776e-05,6798.463866308459,418.7917731674461,421.8619594494712
25544,2021-07-06,15.48767607,0.0002094,1.6068e-05,6798.467152652158,418.9065536303924,421.75375167392303
25544,2021-07-07,15.48771899,0.0001853,2.8956e-05,6798.454592578156,419.05783894215074,421.5773462141615
25544,2021-07-08,15.48774199,0.0002018,2.3621e-05,6798.447861900675,418.93893512214345,421.68278867920617
25544,2021-07-09,15.48781393,0.0001997,3.7932e-05,6798.426809619615,418.9321637857338,421.64745545349615
